0-500,0-20,68
0-500,20-26,440
0-500,26-31,1115
0-500,31-36,268
0-500,36-40,26
1000-1500,0-20,7
1000-1500,20-26,50
1000-1500,26-31,82
1000-1500,31-36,2
1500-2000,0-20,2
1500-2000,20-26,11
1500-2000,26-31,24
2000-2500,0-20,1
2000-2500,20-26,5
2000-2500,26-31,6
2500+,0-20,1
2500+,20-26,5
2500+,26-31,2
500-1000,0-20,11
500-1000,20-26,68
500-1000,26-31,151
500-1000,31-36,11
500-1000,36-40,4
